1,"Customer#000000001","j5JsirBM9P","MOROCCO  0","MOROCCO        ","AFRICA      ","25-989-741-2988","BUILDING  "
50,"Customer#000000050","S8sn2GGsuput","FRANCE   4","FRANCE         ","EUROPE      ","16-658-112-3221","MACHINERY "
51,"Customer#000000051","y90vmRI","JAPAN    7","JAPAN          ","ASIA        ","22-344-885-4251","FURNITURE "
52,"Customer#000000052","UracAlAA8tSHL5V,","IRAQ     4","IRAQ           ","MIDDLE EAST ","21-186-284-5998","HOUSEHOLD "
53,"Customer#000000053","kDQujt7Ll72zSexpBht7","MOROCCO  2","MOROCCO        ","AFRICA      ","25-168-852-5363","HOUSEHOLD "
54,"Customer#000000054","1GWwLsVwmol4","EGYPT    2","EGYPT          ","MIDDLE EAST ","14-776-370-4745","AUTOMOBILE"
55,"Customer#000000055","ti9p9XgdmFsjsQI6XQrISDU","IRAN     3","IRAN           ","MIDDLE EAST ","20-180-440-8525","MACHINERY "
56,"Customer#000000056","qh212iaG","IRAN     1","IRAN           ","MIDDLE EAST ","20-895-685-6920","FURNITURE "
57,"Customer#000000057","ST32P xc","VIETNAM  4","VIETNAM        ","ASIA        ","31-835-306-1650","AUTOMOBILE"
58,"Customer#000000058","LRQBToGZ8wSLO3m5HBe","JORDAN   8","JORDAN         ","MIDDLE EAST ","23-244-493-2508","HOUSEHOLD "
59,"Customer#000000059","tfcob0wJRYdyp","ARGENTINA9","ARGENTINA      ","AMERICA     ","11-355-584-3112","MACHINERY "
60,"Customer#000000060","mtCNJIveoJ 1","JAPAN    0","JAPAN          ","ASIA        ","22-480-575-5866","MACHINERY "
61,"Customer#000000061","SGDNwNWmqhvJKXwNlrpL4 Tq","PERU     9","PERU           ","AMERICA     ","27-626-559-8599","FURNITURE "
62,"Customer#000000062","yBhgYoD","GERMANY  5","GERMANY        ","EUROPE      ","17-361-978-7059","MACHINERY "
63,"Customer#000000063","j398B644","VIETNAM  5","VIETNAM        ","ASIA        ","31-952-552-9584","AUTOMOBILE"
64,"Customer#000000064","fPoMk3Y,GQhg","CANADA   3","CANADA         ","AMERICA     ","13-558-731-7204","BUILDING  "
65,"Customer#000000065","ak7rtta,tWG,jR,cTSXflW6R","UNITED KI9","UNITED KINGDOM ","EUROPE      ","33-733-623-5267","AUTOMOBILE"
66,"Customer#000000066","4PzmA4jZm7Q","RUSSIA   4","RUSSIA         ","EUROPE      ","32-213-373-5094","HOUSEHOLD "
67,"Customer#000000067","ALk,OdKy V5Srui","INDONESIA2","INDONESIA      ","ASIA        ","19-403-114-4356","MACHINERY "
68,"Customer#000000068","DSqIPPo9G3xa","JAPAN    0","JAPAN          ","ASIA        ","22-918-832-2411","HOUSEHOLD "
69,"Customer#000000069","gyuZTEcR4vKyNPMSa15ueKbR","INDONESIA9","INDONESIA      ","ASIA        ","19-225-978-5670","HOUSEHOLD "
70,"Customer#000000070","FlCviyJDjHCYkHoJ22Qw","RUSSIA   0","RUSSIA         ","EUROPE      ","32-828-107-2832","FURNITURE "
71,"Customer#000000071","8FkQFLN34pFe50URKft43nti","GERMANY  5","GERMANY        ","EUROPE      ","17-710-812-5403","HOUSEHOLD "
72,"Customer#000000072","CxyHFFzGum1sz0jBMiqR5Ax","BRAZIL   3","BRAZIL         ","AMERICA     ","12-759-144-9689","FURNITURE "
73,"Customer#000000073","TiJiuAMxW6L","ALGERIA  2","ALGERIA        ","AFRICA      ","10-473-439-3214","BUILDING  "
74,"Customer#000000074","jGhjorX17JmTAfT6gO ","EGYPT    9","EGYPT          ","MIDDLE EAST ","14-199-862-7209","MACHINERY "
75,"Customer#000000075","oJrUH20Ovu5fgaLa","CHINA    5","CHINA          ","ASIA        ","28-247-803-9025","AUTOMOBILE"
76,"Customer#000000076","FXzPoxHecjuQcCLk","ALGERIA  4","ALGERIA        ","AFRICA      ","10-349-718-3044","FURNITURE "
77,"Customer#000000077","XyqmVhNelkoWP","PERU     9","PERU           ","AMERICA     ","27-269-357-4674","BUILDING  "
78,"Customer#000000078","kpcyQ11dABLX6YO9f","INDONESIA0","INDONESIA      ","ASIA        ","19-960-700-9191","FURNITURE "
79,"Customer#000000079","EVJjYMyG59w4S","MOROCCO  7","MOROCCO        ","AFRICA      ","25-147-850-4166","MACHINERY "
80,"Customer#000000080","h0wy3CS","ALGERIA  7","ALGERIA        ","AFRICA      ","10-267-172-7101","FURNITURE "
81,"Customer#000000081","9jUFbrThIIe","SAUDI ARA8","SAUDI ARABIA   ","MIDDLE EAST ","30-165-277-3269","BUILDING  "
82,"Customer#000000082","tJkXm2PQBWPRRYk","CHINA    1","CHINA          ","ASIA        ","28-159-442-5305","AUTOMOBILE"
83,"Customer#000000083","kDJ7dqVuBD9lY,hqjW2","RUSSIA   0","RUSSIA         ","EUROPE      ","32-817-154-4122","BUILDING  "
84,"Customer#000000084","GB3sUmv RRXV DPzeOSbG","IRAQ     6","IRAQ           ","MIDDLE EAST ","21-546-818-3802","FURNITURE "
85,"Customer#000000085"," I9M GnvICGJ29rT","ETHIOPIA 8","ETHIOPIA       ","AFRICA      ","15-745-585-8219","FURNITURE "
86,"Customer#000000086","78Umklj3P783bfR","ALGERIA  6","ALGERIA        ","AFRICA      ","10-677-951-2353","HOUSEHOLD "
87,"Customer#000000087","KKkJj684aF","UNITED KI7","UNITED KINGDOM ","EUROPE      ","33-869-884-7053","FURNITURE "
88,"Customer#000000088","wyGHpeRMt mxmd8fEel","MOZAMBIQU7","MOZAMBIQUE     ","AFRICA      ","26-516-273-2566","AUTOMOBILE"
89,"Customer#000000089","Oy90ruRha47cUlC","KENYA    9","KENYA          ","AFRICA      ","24-394-451-5404","FURNITURE "
90,"Customer#000000090","buosjU5uu2","MOZAMBIQU8","MOZAMBIQUE     ","AFRICA      ","26-603-491-1238","BUILDING  "
91,"Customer#000000091","9Sce2m BjvDdjQkqMx8Unr","INDIA    2","INDIA          ","ASIA        ","18-239-400-3677","AUTOMOBILE"
92,"Customer#000000092","DPbrb7fGYfkrfAdm0gRJPPdA","BRAZIL   3","BRAZIL         ","AMERICA     ","12-446-416-8471","MACHINERY "
93,"Customer#000000093","nj3p Z","GERMANY  3","GERMANY        ","EUROPE      ","17-359-388-5266","MACHINERY "
94,"Customer#000000094","jL5dieRgyG9OhRN7HgXb","INDONESIA5","INDONESIA      ","ASIA        ","19-953-499-8833","HOUSEHOLD "
95,"Customer#000000095","n6,uwF4wcE76DVh1YsS","MOROCCO  5","MOROCCO        ","AFRICA      ","25-923-255-2929","MACHINERY "
96,"Customer#000000096","x4fc F","INDIA    8","INDIA          ","ASIA        ","18-422-845-1202","AUTOMOBILE"
97,"Customer#000000097","dqBtMIPJhk1,","PERU     4","PERU           ","AMERICA     ","27-588-919-5638","AUTOMOBILE"
98,"Customer#000000098","UtIJM4d8Bxn","JAPAN    8","JAPAN          ","ASIA        ","22-885-845-6889","BUILDING  "
99,"Customer#000000099"," sz cJbyoj","MOROCCO  2","MOROCCO        ","AFRICA      ","25-515-237-9232","HOUSEHOLD "
100,"Customer#000000100","MBy6qq3O","SAUDI ARA4","SAUDI ARABIA   ","MIDDLE EAST ","30-749-445-4907","FURNITURE "
